"GDELT DOC 2.0 — Base Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key required. No registration.",,,,,,"IP-based soft throttle on heavy bursts",,"Live news tiles, CRE News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 9-15",,,
"Census API — ACS Housing Tenure (owner/renter)",,"Census",,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B25003_001E,B25003_002E,B25003_003E&for=metropolitan+statistical+area/micropolitan+statistical+area:*&key=YOUR_KEY","Free key",,"Annual (ACS 5-yr)",,"JSON: NAME, B25003_001E, B25003_002E, B25003_003E",,"Generous",,"Owner/Renter Map","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 535",,,
"BLS CPI Shelter — Master Reference Table Row",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SAH1?startyear=2024&endyear=2026&registrationkey=KEY","Free key",,"Monthly",,"JSON",,"500 req/day",,"CPI Shelter Tracker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 624",,,
"BLS JOLTS — Master Reference Table Row",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/JTS000000000000000JOR?startyear=2024&endyear=2026&registrationkey=KEY","Free key",,"Monthly",,"JSON",,"500 req/day",,"Labor Demand Indicator","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 625",,,
"BEA Regional API — Master Reference Table Row",,"BEA",,"https://apps.bea.gov/api/data?UserID=KEY&method=GetData&DataSetName=Regional&TableName=CAINC1&LineCode=1&GeoFips=MSA&Year=2023,2024&ResultFormat=JSON","Free key",,"Annual (CAINC1)",,"JSON / XML",,"100 req/min",,"MSA Income Map","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 626",,,
"Census BPS API — Master Reference Table Row",,"Census",,"https://api.census.gov/data/timeseries/eits/bps?get=cell_value,time_slot_name,category_code&for=us:*&time=from+2024-01&key=YOUR_KEY","Free key",,"Monthly",,"JSON",,"Generous (undocumented)",,"Building Permits Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 627",,,
"Census ACS Housing Tenure — Master Reference Table Row",,"Census",,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B25003_001E,B25003_002E,B25003_003E&for=metropolitan+statistical+area/micropolitan+statistical+area:*&key=KEY","Free key",,"Annual (ACS 5-yr)",,"JSON",,"Generous",,"Owner/Renter Map","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 628",,,
"NewsAPI.org — CRE Keyword Call",,"NewsAPI.org",,"https://newsapi.org/v2/everything?q=CMBS+%22commercial+real+estate%22&language=en&sortBy=publishedAt&apiKey=YOUR_KEY","Free key","Free tier is localhost/dev only; production requires paid plan","Real-time",,"JSON",,"100 req/day, developer only (no production)",,"News API CRE keyword search","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 543",,,
"NewsData.io — CRE Keyword Call",,"NewsData.io",,"https://newsdata.io/api/1/news?apikey=YOUR_KEY&q=CMBS+commercial+real+estate&language=en&country=us","Free key","Free commercial use allowed","12-hr delay on free",,"JSON",,"200 credits/day (×10 articles/credit = 2,000 articles/day)",,"Supplemental News Feed","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 544",,,
"Mediastack — CRE Keyword Call",,"Mediastack",,"http://api.mediastack.com/v1/news?access_key=YOUR_KEY&keywords=CMBS,commercial+real+estate,office+vacancy&countries=us&languages=en","Free key","Free tier","30-min delay",,"JSON",,"~500 req/month on free tier",,"Backup News Ticker; HTTP only on free tier (no HTTPS)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 545",,,
"NewsData.io Archive — Paid Tier",,"NewsData.io",,"Same endpoint + &from_date=2025-01-01","Paid only","Paid only ($199.99/mo+) for 6-mo history","Real-time on paid",,"JSON",,,,"Archive access (paid)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 547",,,
"MarketAux — CRE REIT Tickers Query",,"MarketAux",,"https://api.marketaux.com/v1/news/all?symbols=VNO,SPG,ARE&filter_entities=true&language=en&api_token=YOUR_KEY","Free key","Free","Near real-time",,"JSON",,"100 req/day free",,"Entity/ticker-tagged, CRE REIT coverage","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 548",,,
"Common Crawl CC-NEWS — S3 Path",,"Common Crawl",,"s3://commoncrawl/crawl-data/CC-NEWS/","AWS credentials (requester-pays)","Free","~24-48 hr lag",,,,,,"Petabyte-scale; not a REST API — use AWS CLI or Athena","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 8 / Line 550",,,
"Reuters — Google News RSS Proxy Workaround",,"Reuters (via Google News)",,"https://news.google.com/rss/search?q=commercial+real+estate+CMBS+site:reuters.com&hl=en-US&gl=US&ceid=US:en","No API key","Free","Headline + link only",,"RSS",,,,"Workaround: Google News RSS proxies Reuters content (headline + link only, no full text)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 9 / Lines 558-562",,,
"Bloomberg — RSS Markets Feed",,"Bloomberg",,"https://feeds.bloomberg.com/markets/news.rss","No API key","Free","Real-time (headlines only)",,"RSS/XML",,"None published",,"Markets (includes CRE); headlines only; undocumented","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 9 / Line 577",,,
"Bloomberg — RSS Economics Feed",,"Bloomberg",,"https://feeds.bloomberg.com/economics/news.rss","No API key","Free","Real-time (headlines only)",,"RSS/XML",,"None published",,"Economics; headlines only; undocumented","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 9 / Line 578",,,
"Bloomberg — RSS Industries Feed",,"Bloomberg",,"https://feeds.bloomberg.com/industries/news.rss","No API key","Free","Real-time (headlines only)",,"RSS/XML",,"None published",,"Industries (CRE sector); Bloomberg Headline Strip","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 9 / Line 579",,,
"NewsData.io — Master Reference Table Row",,"NewsData.io",,"https://newsdata.io/api/1/news?apikey=KEY&q=CMBS+%22commercial+real+estate%22&language=en&country=us","Free key","Free","12-hr delay (free)",,"JSON",,"200 credits/day (≈2,000 articles), 12-hr delay",,"Supplemental News Feed","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 633",,,
"Mediastack — Master Reference Table Row",,"Mediastack",,"http://api.mediastack.com/v1/news?access_key=KEY&keywords=CMBS,commercial+real+estate&countries=us&languages=en","Free key","Free","30-min delay (free)",,"JSON",,"~500 req/mo, 30-min delay",,"Backup News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 634",,,
"Bloomberg RSS — Master Reference Table Row",,"Bloomberg",,"https://feeds.bloomberg.com/industries/news.rss","None","Free","Real-time (headlines only)",,"RSS/XML",,"None",,"Bloomberg Headline Strip","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 635",,,
"Chicago Fed CFNAI — Current Data Page",,"Chicago Fed",,"https://www.chicagofed.org/research/data/cfnai/current-data","No API key",,"Monthly (last business day of month)",,"Excel link on page",,,,"CFNAI National Activity Index","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 594",,,
"Chicago Fed CFNAI — Via FRED",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=CFNAI&api_key=YOUR_KEY&file_type=json","Free FRED key",,"Monthly",,"JSON",,,,"National Activity Index via FRED","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 594",,,
"Philadelphia Fed ADS — Page",,"Philadelphia Fed",,"https://www.philadelphiafed.org/surveys-and-data/real-time-data-research/ads","No API key",,"Real-time (8× per month)",,"Excel download on page",,,,"ADS Business Conditions Index","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 595",,,
"Philadelphia Fed State Coincident Indexes — Page",,"Philadelphia Fed",,"https://www.philadelphiafed.org/surveys-and-data/regional-economic-analysis/state-coincident-indexes","No API key",,"Monthly",,"Excel download",,,,"State Coincident Indexes; Via FRED series USPHCI","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 596",,,
"Dallas Fed TMOS — Page",,"Dallas Fed",,"https://www.dallasfed.org/research/surveys/tmos","No API key",,"Monthly",,"Excel download on page",,,,"Texas Manufacturing Outlook Survey; Via FRED series DALTCPIMS","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 597",,,
"Dallas Fed WEI — Page",,"Dallas Fed",,"https://www.dallasfed.org/research/wei","No API key",,"Weekly",,"Excel download",,,,"Weekly Economic Index; Via FRED series WEI","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 598",,,
"Atlanta Fed GDPNow — Page",,"Atlanta Fed",,"https://www.atlantafed.org/research-and-data/data/gdpnow","No API key",,"~8× per quarter",,"Excel spreadsheet link",,,,"GDPNow nowcast page","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 599",,,
"Atlanta Fed GDPNow — Via FRED",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=GDPNOW&api_key=YOUR_KEY&file_type=json","Free FRED key",,"~8× per quarter",,"JSON",,,,"GDP Nowcast Tile via FRED","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 599",,,
"NY Fed Weekly Economic Index — Archived",,"NY Fed",,"https://www.newyorkfed.org/research/policy/weekly-economic-index","No API key",,"Moved Dec 2023",,,,,,"Archived; redirects to Dallas Fed","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 600",,,
"Kansas City Fed Manufacturing Survey — Page",,"Kansas City Fed",,"https://www.kansascityfed.org/surveys/manufacturing-survey/","No API key",,"Monthly",,"Excel on release page",,,,"Manufacturing Survey; Via FRED KCFMCIM","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 601",,,
"Richmond Fed 5th District Economic Indicators — Page",,"Richmond Fed",,"https://www.richmondfed.org/research/regional_economy/indexes/composite","No API key",,"Monthly",,,,,,"5th District Economic Indicators; Via FRED series WNCFSA","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 602",,,
"St. Louis Fed / FRED — All Series via API",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=CFNAI&api_key=YOUR_KEY&file_type=json","Free FRED key",,"Per source schedule",,"JSON native",,,,"FRED API all series","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 603",,,
"FRED API Key Signup",,"FRED",,"https://fred.stlouisfed.org/docs/api/api_key.html","Free, instant",,,,,,,,"FRED API Key signup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 10 / Line 605",,,
"Atlanta Fed GDPNow — Master Reference Table Row",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=GDPNOW&api_key=KEY&file_type=json","Free FRED key",,"~8× per quarter",,"JSON",,"1,000+/day",,"GDP Nowcast Tile","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 629",,,
"Chicago Fed CFNAI — Master Reference Table Row",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=CFNAI&api_key=KEY&file_type=json","Free FRED key",,"Monthly",,"JSON",,"1,000+/day",,"National Activity Index","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 630",,,
"Dallas Fed WEI — Master Reference Table Row",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=WEI&api_key=KEY&file_type=json","Free FRED key",,"Weekly",,"JSON",,"1,000+/day",,"Weekly Economy Pulse","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 631",,,
"Kansas City Fed Mfg — Master Reference Table Row",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=KCFMCIM&api_key=KEY&file_type=json","Free FRED key",,"Monthly",,"JSON",,"1,000+/day",,"Midwest Industrial Tile","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 632",,,
"Parallel Fan-Out Python — GDELT CRE News Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key",,,,,,,,"Parallel fan-out Python snippet endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Parallel Fan-Out / Lines 651-655",,,
"Parallel Fan-Out Python — Federal Register Rules Endpoint",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json","No API key",,,,,,,,"Parallel fan-out Python snippet endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Parallel Fan-Out / Lines 656-660",,,
"Parallel Fan-Out Python — FRED GDPNOW Endpoint",,"FRED",,"https://api.stlouisfed.org/fred/series/observations","Free key",,,,,,,,"Parallel fan-out Python snippet endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Parallel Fan-Out / Lines 661-664",,,
"Parallel Fan-Out Python — BLS CPI Shelter Endpoint",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SAH1","Free key",,,,,,,,"Parallel fan-out Python snippet endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Parallel Fan-Out / Lines 665-668",,,
"Parallel Fan-Out Python — Regulations.gov FHFA Rulemaking Endpoint",,"Regulations.gov",,"https://api.regulations.gov/v4/documents","Free api.data.gov key",,,,,,,,"Parallel fan-out Python snippet endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Parallel Fan-Out / Lines 669-673",,,
"GDELT BigQuery — Theme Filter Lookup",,"GDELT BigQuery",,"gdelt-bq.gdeltv2.gkg_partitioned","BigQuery credentials","Pay-per-query",,,,,,,"For bulk historical pulls; theme master list","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 138 + Hardening Notes / Line 698",,,
